:START_ID(disease)|:END_ID(drug)|type:STRING|name:STRING
6934|11863|好评药品|好评药品
1430|9519|好评药品|好评药品
3741|11100|好评药品|好评药品
4538|11328|好评药品|好评药品
7511|10789|好评药品|好评药品
2457|11483|好评药品|好评药品
1522|11783|好评药品|好评药品
7172|9694|好评药品|好评药品
7149|12505|好评药品|好评药品
5619|9739|好评药品|好评药品
5138|9656|好评药品|好评药品
7380|9271|好评药品|好评药品
604|11964|好评药品|好评药品
8594|11884|好评药品|好评药品
4855|9931|好评药品|好评药品
5826|10815|好评药品|好评药品
6022|10157|好评药品|好评药品
6992|10154|好评药品|好评药品
3514|9181|好评药品|好评药品
4999|12081|好评药品|好评药品
3753|9490|好评药品|好评药品
8416|11653|好评药品|好评药品
6607|10207|好评药品|好评药品
6193|11130|好评药品|好评药品
6045|12357|好评药品|好评药品
2594|11305|好评药品|好评药品
7916|10945|好评药品|好评药品
3821|10189|好评药品|好评药品
7832|10068|好评药品|好评药品
1028|11953|好评药品|好评药品
5255|11618|好评药品|好评药品
5310|11727|好评药品|好评药品
5593|9903|好评药品|好评药品
995|10708|好评药品|好评药品
5656|11991|好评药品|好评药品
989|9122|好评药品|好评药品
6908|12562|好评药品|好评药品
4329|12315|好评药品|好评药品
4897|10939|好评药品|好评药品
336|12084|好评药品|好评药品
5287|9464|好评药品|好评药品
2708|11512|好评药品|好评药品
4605|11542|好评药品|好评药品
5625|12240|好评药品|好评药品
5181|8844|好评药品|好评药品
2252|10400|好评药品|好评药品
6424|11461|好评药品|好评药品
5907|10423|好评药品|好评药品
5747|10465|好评药品|好评药品
3398|11810|好评药品|好评药品
4082|10025|好评药品|好评药品
7234|10450|好评药品|好评药品
8674|11780|好评药品|好评药品
5713|10701|好评药品|好评药品
2659|10256|好评药品|好评药品
6178|11118|好评药品|好评药品
957|11579|好评药品|好评药品
6748|11369|好评药品|好评药品
3003|11962|好评药品|好评药品
3471|8929|好评药品|好评药品
5517|11602|好评药品|好评药品
4643|11375|好评药品|好评药品
7923|11191|好评药品|好评药品
2236|12282|好评药品|好评药品
1553|12409|好评药品|好评药品
3013|10896|好评药品|好评药品
7397|8932|好评药品|好评药品
7365|12439|好评药品|好评药品
3158|9973|好评药品|好评药品
1656|10021|好评药品|好评药品
1700|12154|好评药品|好评药品
2402|9478|好评药品|好评药品
773|9674|好评药品|好评药品
742|9251|好评药品|好评药品
1392|10848|好评药品|好评药品
2357|11252|好评药品|好评药品
7984|10979|好评药品|好评药品
6761|11542|好评药品|好评药品
943|10992|好评药品|好评药品
2505|10780|好评药品|好评药品
8551|9224|好评药品|好评药品
2654|10995|好评药品|好评药品
3424|9248|好评药品|好评药品
6846|11053|好评药品|好评药品
7815|10928|好评药品|好评药品
7550|12056|好评药品|好评药品
1452|9522|好评药品|好评药品
6079|9602|好评药品|好评药品
8412|11617|好评药品|好评药品
4031|11318|好评药品|好评药品
1273|8960|好评药品|好评药品
7527|10229|好评药品|好评药品
8707|10254|好评药品|好评药品
8794|12128|好评药品|好评药品
2710|11838|好评药品|好评药品
1027|10330|好评药品|好评药品
2239|11365|好评药品|好评药品
8192|11129|好评药品|好评药品
373|9198|好评药品|好评药品
6931|11679|好评药品|好评药品
8532|10762|好评药品|好评药品
325|8907|好评药品|好评药品
5296|9100|好评药品|好评药品
3892|9368|好评药品|好评药品
6608|12001|好评药品|好评药品
3054|11517|好评药品|好评药品
8026|8989|好评药品|好评药品
8268|9489|好评药品|好评药品
2164|10694|好评药品|好评药品
3705|8896|好评药品|好评药品
3053|9224|好评药品|好评药品
